BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Age,Period,ComplaintType
76036.25,77.0,0.35,6.0,1.0,16942.0,100.0,1.0,5.0,6072.0,7650.0,0.6,2320.0,88.0,120.0,3
76036.25,77.0,1.0,6.0,1.0,16942.0,126.93,1.0,5.0,6072.0,7650.0,0.6,2320.0,88.0,120.0,3
76036.25,77.0,0.22,6.0,1.0,16942.0,100.0,1.0,5.0,6072.0,7650.0,0.6,2320.0,88.0,120.0,0
9401.0,77.0,3.6,6.0,6.5,2523.0,100.0,1.0,5.0,6072.0,7650.0,4.0,2320.0,78.0,110.0,0
9401.0,77.0,3.6,6.0,6.5,2523.0,100.0,1.0,5.0,6072.0,7650.0,4.0,2320.0,78.0,110.0,2
76036.25,183.0,1.34,2.0,6.5,16942.0,126.93,1.0,5.0,6072.0,7650.0,4.0,2320.0,98.0,112.0,1
76036.25,183.0,0.83,3.4,10.0,16942.0,126.93,1.0,5.0,6072.0,7650.0,10.0,2320.0,101.0,120.0,0
7500.0,75.0,0.19,3.4,10.0,16942.0,126.93,1.0,1.0,6072.0,7650.0,10.0,2320.0,88.0,120.0,0
24346.0,183.0,0.05,3.4,10.0,16942.0,126.93,1.0,2.0,6072.0,7650.0,10.0,2320.0,1.0,33.0,1
76036.25,57.0,1.0,6.0,6.5,16942.0,126.93,1.0,1.0,6072.0,7650.0,4.0,2320.0,37.0,69.0,3
9401.0,77.0,3.6,6.0,6.5,16942.0,76.0,1.0,5.0,6072.0,7650.0,4.0,2320.0,78.0,110.0,1
9401.0,77.0,3.6,6.0,6.5,16942.0,126.93,1.0,5.0,6072.0,7650.0,4.0,2320.0,78.0,110.0,2
9401.0,77.0,3.6,6.0,6.5,2523.0,100.0,1.0,5.0,6072.0,7650.0,4.0,2320.0,78.0,110.0,4
76036.25,183.0,1.0,2.0,6.5,16942.0,126.93,1.0,3.0,6072.0,7650.0,4.0,2320.0,28.0,60.0,2
76036.25,77.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,19.0,51.0,1
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,44.0,51.0,1
76036.25,77.0,10.35,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,18.0,50.0,0
9401.0,77.0,3.6,6.0,6.5,16942.0,126.93,1.0,5.0,6072.0,7650.0,4.0,2320.0,78.0,110.0,0
3632.0,53.0,3.56,6.0,14.0,1019.0,52.83,1.0,4.5,6072.0,7650.0,10.0,2320.0,88.0,120.0,1
4104.0,54.0,5.34,6.0,14.0,769.0,53.92,1.0,4.5,1026.0,7650.0,10.0,2320.0,68.0,100.0,0
4800.0,39.0,5.76,6.0,14.0,833.0,41.0,1.0,5.0,6072.0,7650.0,10.0,1600.0,88.0,120.0,0
6045.0,36.0,5.72,6.0,14.0,1057.0,35.75,1.0,5.0,6072.0,7650.0,10.0,2016.0,88.0,120.0,0
7475.0,44.0,4.94,6.0,14.0,1512.0,46.67,1.0,5.0,1495.0,2990.0,10.0,2320.0,53.0,85.0,3
6120.0,69.0,2.81,6.0,14.0,2180.0,69.75,1.0,3.0,6072.0,7650.0,10.0,2180.0,88.0,120.0,1
8119.0,63.0,3.57,6.0,14.0,2275.0,55.25,1.0,4.0,6072.0,7650.0,10.0,2320.0,88.0,120.0,0
9240.0,66.0,4.9,6.0,14.0,1885.0,66.92,1.0,5.5,6072.0,7650.0,10.0,2320.0,88.0,120.0,1
7485.0,48.0,5.02,6.0,14.0,1491.0,54.17,1.0,5.0,1491.0,4473.0,10.0,1521.0,88.0,120.0,0
44097.0,36.0,5.67,6.0,14.0,7780.0,74.42,1.0,6.0,6072.0,31531.0,10.0,2320.0,108.0,140.0,0
14894.0,107.0,4.81,6.0,14.0,3095.0,106.58,1.0,4.5,6072.0,9807.0,10.0,2320.0,76.0,100.0,1
46724.0,57.0,8.35,6.0,14.0,5598.0,57.15,1.0,7.5,6072.0,7650.0,10.0,2320.0,59.0,70.0,0
9401.0,77.0,3.6,6.0,14.0,2523.0,126.93,1.0,5.0,6072.0,7650.0,10.0,2320.0,78.0,110.0,1
76036.25,52.0,10.37,6.0,14.0,3889.0,51.65,1.0,12.0,6072.0,7650.0,10.0,2320.0,0.0,5.0,1
76036.25,91.0,10.37,6.0,14.0,9053.0,91.58,1.0,12.0,6072.0,31531.0,10.0,2320.0,22.0,35.0,1
76036.25,120.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,9.0,50.0,0
8685.0,105.0,1.44,6.0,14.0,6037.0,105.75,1.0,4.5,6072.0,7650.0,10.0,2320.0,11.0,66.0,0
76036.25,118.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,-2.0,33.0,0
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,17.0,49.0,0
26013.0,183.0,3.0,6.0,14.0,8671.0,126.93,1.0,2.0,6072.0,7650.0,10.0,2320.0,52.0,57.0,1
76036.25,160.0,10.37,6.0,14.0,13214.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,17.0,34.0,4
14829.0,58.0,7.14,6.0,14.0,2077.0,58.09,1.0,7.0,6072.0,7650.0,10.0,2320.0,61.0,99.0,0
76036.25,123.0,10.37,6.0,14.0,15445.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,58.0,90.0,3
7403.0,66.0,4.68,6.0,14.0,1583.0,66.0,1.0,5.0,6072.0,7650.0,10.0,2320.0,69.0,110.0,1
76036.25,162.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,27.0,58.0,1
9075.0,80.0,4.7,6.0,14.0,1932.0,77.83,1.0,5.0,6072.0,3474.0,10.0,2320.0,78.0,110.0,4
76036.25,125.0,10.37,6.0,14.0,6834.0,125.0,1.0,12.0,6072.0,7650.0,10.0,2320.0,-19.0,13.0,0
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,41.0,62.0,1
15678.0,74.0,6.0,6.0,14.0,2613.0,73.67,1.0,5.0,6072.0,7650.0,10.0,2320.0,88.0,120.0,1
8516.0,68.0,4.85,6.0,14.0,1757.0,68.42,1.0,4.0,6072.0,1736.0,10.0,2320.0,88.0,120.0,0
6770.0,65.0,3.98,6.0,14.0,1701.0,64.8,1.0,4.0,6072.0,5070.0,10.0,1700.0,65.0,120.0,3
6000.0,61.0,4.57,6.0,14.0,1314.0,61.6,1.0,4.0,2400.0,7650.0,10.0,2320.0,69.0,100.0,3
5046.0,59.0,4.0,6.0,14.0,1260.0,59.0,1.0,4.0,6072.0,1276.0,10.0,2320.0,40.0,100.0,2
51387.0,56.0,10.37,6.0,14.0,2907.0,56.33,1.0,12.0,6072.0,31531.0,10.0,2300.0,80.0,111.0,1
19478.0,65.0,6.37,6.0,14.0,3060.0,66.12,1.0,5.0,6072.0,4260.0,10.0,2320.0,81.0,112.0,0
21216.0,100.0,6.45,6.0,14.0,3287.0,100.6,1.0,6.0,6072.0,7650.0,10.0,2320.0,63.0,110.0,0
76036.25,107.0,10.37,6.0,14.0,13135.0,107.0,1.0,12.0,6072.0,7650.0,10.0,2320.0,50.0,85.0,0
4920.0,95.0,3.0,6.0,14.0,1640.0,94.5,1.0,3.0,6072.0,7650.0,10.0,2320.0,103.0,110.0,4
9401.0,77.0,3.6,6.0,6.5,2523.0,100.0,1.0,5.0,6072.0,7650.0,4.0,2320.0,78.0,110.0,2
59410.0,82.97,10.37,6.0,14.0,3807.0,83.17,1.0,12.0,6072.0,7650.0,10.0,2320.0,-1.0,4.0,1
9132.0,77.0,4.07,6.0,14.0,2242.0,91.4,1.0,5.0,6072.0,5461.0,10.0,2320.0,106.0,120.0,1
76036.25,183.0,5.03,6.0,14.0,16942.0,126.93,1.0,7.0,6072.0,7650.0,10.0,2320.0,81.0,113.0,1
9401.0,77.0,3.6,6.0,6.5,16942.0,126.93,1.0,5.0,6072.0,7650.0,4.0,2320.0,78.0,110.0,0
76036.25,171.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,61.0,99.0,3
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,20.0,120.0,2
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,89.0,99.0,2
76036.25,179.42,10.37,6.0,14.0,13465.0,126.93,1.0,12.0,6072.0,31531.0,10.0,2320.0,57.0,89.0,2
76036.25,77.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,31531.0,10.0,2320.0,96.0,118.0,1
76036.25,179.58,10.37,6.0,14.0,13928.0,126.93,1.0,12.0,6072.0,31531.0,10.0,2320.0,74.0,90.0,2
28732.0,183.0,0.35,6.0,10.0,16942.0,126.93,1.0,3.0,6072.0,7650.0,10.0,2320.0,102.0,110.0,4
4000.0,100.0,3.6,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,7650.0,4.0,2320.0,-1.0,31.0,2
76036.25,77.0,1.77,6.0,6.5,16942.0,126.93,1.0,4.0,6072.0,7650.0,4.0,2320.0,5.0,23.0,0
9401.0,77.0,3.6,2.0,6.5,16942.0,126.93,1.0,5.0,6072.0,7650.0,4.0,2320.0,78.0,110.0,1
76036.25,140.0,7.68,6.0,6.5,16942.0,126.93,1.0,9.0,6072.0,31531.0,4.0,2320.0,-10.0,22.0,3
76036.25,77.0,7.77,6.0,6.5,16942.0,126.93,1.0,9.0,6072.0,31531.0,4.0,2320.0,-10.0,22.0,4
76036.25,77.0,5.51,6.0,6.5,16942.0,126.93,1.0,8.0,6072.0,7650.0,4.0,2320.0,-20.0,12.0,0
76036.25,110.0,8.52,6.0,6.5,16942.0,126.93,1.0,5.0,6072.0,31531.0,4.0,2320.0,5.0,37.0,2
76036.25,112.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,7650.0,4.0,2320.0,29.0,34.0,0
76036.25,125.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,7650.0,4.0,2320.0,28.0,33.0,1
76036.25,125.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,7650.0,4.0,2320.0,2.0,34.0,0
76036.25,125.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,7650.0,4.0,2320.0,2.0,34.0,0
9401.0,77.0,3.6,6.0,6.5,16942.0,126.93,1.0,5.0,6072.0,7650.0,4.0,2320.0,78.0,110.0,4
76036.25,121.0,10.37,6.0,6.5,16653.0,120.0,1.0,12.0,6072.0,31531.0,4.0,2320.0,-14.0,18.0,0
76036.25,70.0,10.37,6.0,6.5,14451.0,70.0,1.0,12.0,2000.0,31531.0,4.0,2320.0,-16.0,16.0,1
